"No.","Time","Source","Destination","Protocol","Length","Info"
"329","14.904928","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"339","15.906317","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"343","15.906593","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"347","15.906918","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"349","15.906975","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"351","15.907325","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"355","15.907681","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"357","15.907748","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"361","15.908387","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"365","15.909236","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"367","15.909344","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"371","15.909516","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"373","15.909548","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"375","15.909829","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"379","15.910112","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"381","15.910379","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"383","15.910735","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"389","15.912093","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"391","15.912196","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"393","15.912482","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"395","15.912804","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"407","16.913555","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"411","16.913719","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"415","16.914300","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"420","16.914673","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"423","16.914738","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"425","16.914907","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"429","16.915096","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"430","16.915126","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"432","16.915163","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"434","16.915457","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"438","16.915824","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"440","16.916091","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"442","16.916158","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"446","16.916327","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"448","16.916437","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"450","16.916698","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"454","16.917317","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"458","16.917664","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"460","16.918651","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"462","16.919031","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"470","17.919705","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"474","17.920001","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"476","17.920462","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"478","17.920801","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"482","17.921387","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"484","17.921663","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"490","17.922651","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"492","17.922750","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"496","17.922937","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"498","17.922980","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"500","17.923430","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"504","17.923809","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"506","17.924027","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"510","17.924509","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"514","17.925756","::1","::1","MQTT","565","Publish Message [iot/surveillance]"
"516","17.925820","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"518","17.926104","::1","::1","MQTT","565","Publish Message [iot/surveillance]"
"522","17.926422","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"524","17.926994","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"526","17.927286","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"536","18.928860","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"540","18.929124","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"542","18.929636","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"544","18.930068","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"548","18.930795","::1","::1","MQTT","551","Publish Message [iot/surveillance]"
"552","18.931281","::1","::1","MQTT","551","Publish Message [iot/surveillance]"
"556","18.932283","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"558","18.932439","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"562","18.932584","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"564","18.932697","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"566","18.933092","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"570","18.933423","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"572","18.933458","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"576","18.933835","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"580","18.934796","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"582","18.934906","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"586","18.935072","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"588","18.935105","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
